"","contrast","estimate","SE","df","t.ratio","p.value","normalTest","Variance","traits"
"1","pos - zero",0.226518135525981,0.0467901073300086,38,4.84115443310181,2.17790410822688e-05,0.143765145912605,"high","c-shed"
"2","pos - zero",0.127943715019412,0.0188725732525221,143,6.77934658445761,8.80307160500138e-10,0.348042387560747,"med","c-shed"
"3","pos - neg",0.309575305918835,0.0190742952429037,143,16.2299734787847,0,0.348042387560747,"med","c-shed"
"4","zero - neg",0.181631590899423,0.0191683712505531,143,9.47558811989215,1.96509475358653e-14,0.348042387560747,"med","c-shed"
"5","pos - zero",0.0226203875656719,0.0142626025766857,147,1.58599298017658,0.254893739903359,0.0162481682341865,"low","c-shed"
"6","pos - neg",0.0264726572536873,0.0142626025766857,147,1.85608882469744,0.155284324146232,0.0162481682341865,"low","c-shed"
"7","zero - neg",0.00385226968801532,0.0142626025766857,147,0.27009584452086,0.960594281315667,0.0162481682341865,"low","c-shed"
"8","pos - zero",0.122978299101166,0.0183653715240184,129,6.69620535257526,1.78333059430713e-09,0.330497483156109,"high","c-alpha"
"9","pos - neg",-0.0523032439843632,0.0182642359692816,129,-2.86369734120449,0.0134689703192197,0.330497483156109,"high","c-alpha"
"10","zero - neg",-0.175281543085529,0.0181577932291597,129,-9.6532403950962,0,0.330497483156109,"high","c-alpha"
"11","pos - zero",0.036819406849103,0.0157713713193743,144,2.33457231482924,0.0542731729203189,0.181926029658955,"med","c-alpha"
"12","pos - neg",-0.0165448869135126,0.0157713713193743,144,-1.04904555085759,0.547273742681957,0.181926029658955,"med","c-alpha"
"13","zero - neg",-0.0533642937626156,0.0157713713193743,144,-3.38361786568682,0.00263819409520594,0.181926029658955,"med","c-alpha"
"14","pos - zero",-0.0219453899456846,0.0127461209465291,147,-1.72173087308265,0.200514013154417,0.196330867438512,"low","c-alpha"
"15","pos - neg",-0.0147952283926193,0.0127461209465291,147,-1.16076322001701,0.478523210057113,0.196330867438512,"low","c-alpha"
"16","zero - neg",0.00715016155306522,0.0127461209465291,147,0.56096765306564,0.840990937552745,0.196330867438512,"low","c-alpha"
"17","pos - zero",0.100182936537406,0.0134022354193819,121,7.4750915352915,4.01987332310227e-11,0.0140746489032241,"high","c-gamma"
"18","pos - neg",-0.00104458529657262,0.0126398942103965,121,-0.0826419334833857,0.996241847018982,0.0140746489032241,"high","c-gamma"
"19","zero - neg",-0.101227521833978,0.0129137563910259,121,-7.83873559085593,6.00797189775903e-12,0.0140746489032241,"high","c-gamma"
"20","pos - zero",0.0267702681753404,0.0143891483096665,145,1.86044841565476,0.154005499597172,0.870561492022426,"med","c-gamma"
"21","pos - neg",-0.0551247950231558,0.0143891483096665,145,-3.83099776559559,0.000552881104360692,0.870561492022426,"med","c-gamma"
"22","zero - neg",-0.0818950631984962,0.014461638180588,145,-5.66291744931255,2.31155215746348e-07,0.870561492022426,"med","c-gamma"
"23","pos - zero",0.00414060119560012,0.0138103343747442,147,0.29981904009307,0.951673241132595,0.0215934483970522,"low","c-gamma"
"24","pos - neg",0.0140636780497816,0.0138103343747442,147,1.0183444997176,0.566490035478576,0.0215934483970522,"low","c-gamma"
"25","zero - neg",0.00992307685418147,0.0138103343747442,147,0.718525459624527,0.752932730401648,0.0215934483970522,"low","c-gamma"
"26","pos - zero",0.0564656780125056,0.0191054546974309,128,2.95547417775399,0.0103228475425038,0.848319447884817,"high","shed-alpha"
"27","pos - neg",-0.0962453427681355,0.0187950966462727,128,-5.12076870789712,3.24862593170661e-06,0.848319447884817,"high","shed-alpha"
"28","zero - neg",-0.152711020780641,0.0186805065197534,128,-8.17488651173131,7.68940466855383e-13,0.848319447884817,"high","shed-alpha"
"29","pos - zero",0.0268271655610097,0.0142278164910773,145,1.88554340561209,0.146522498852975,0.731504706050161,"med","shed-alpha"
"30","pos - neg",-0.0199353533720371,0.0142278164910772,145,-1.40115339444667,0.342982479684384,0.731504706050161,"med","shed-alpha"
"31","zero - neg",-0.0467625189330468,0.0142994936021013,145,-3.27022202563699,0.00381817869842171,0.731504706050161,"med","shed-alpha"
"32","pos - zero",0.010181646452056,0.0160604916745996,147,0.633956086671913,0.801670753268371,0.388134787599352,"low","shed-alpha"
"33","pos - neg",-0.00741056687926499,0.0160604916745996,147,-0.461415941019112,0.889377366069075,0.388134787599352,"low","shed-alpha"
"34","zero - neg",-0.017592213331321,0.0160604916745996,147,-1.09537202769102,0.518454621975531,0.388134787599352,"low","shed-alpha"
"35","pos - zero",0.0520609177733948,0.0112384569536838,121,4.63239019270611,2.72302814722236e-05,0.650238742454735,"high","shed-gamma"
"36","pos - neg",-0.053036701753173,0.0111672271626008,121,-4.74931699525139,1.68189000951946e-05,0.650238742454735,"high","shed-gamma"
"37","zero - neg",-0.105097619526568,0.0113697901516558,121,-9.24358480893005,4.04121180963557e-14,0.650238742454735,"high","shed-gamma"
"38","pos - zero",0.0148991461387914,0.0138294634220915,144,1.07734809978175,0.529644964663434,0.512359672961457,"med","shed-gamma"
"39","pos - neg",-0.0472382492204757,0.0138294634220915,144,-3.41576876692239,0.00237036514581968,0.512359672961457,"med","shed-gamma"
"40","zero - neg",-0.0621373953592671,0.0138294634220915,144,-4.49311686670413,4.23895900617532e-05,0.512359672961457,"med","shed-gamma"
"41","pos - zero",0.0259018442305167,0.0139844107758831,147,1.85219417861966,0.156478497895259,0.559585918780328,"low","shed-gamma"
"42","pos - neg",0.0332091932435877,0.0139844107758831,147,2.37472953103315,0.0491423191123382,0.559585918780328,"low","shed-gamma"
"43","zero - neg",0.00730734901307101,0.0139844107758831,147,0.522535352413486,0.860453870787717,0.559585918780328,"low","shed-gamma"
"44","pos - zero",0.0527723930605991,0.00610407429166605,146,8.64543754532113,6.60582699651968e-14,0.0894364809655574,"high","alpha-gamma"
"45","pos - neg",0.0508666854614243,0.0060731673877983,146,8.37564358321844,1.64201985342061e-13,0.0894364809655574,"high","alpha-gamma"
"46","zero - neg",-0.0019057075991748,0.00610407429166604,146,-0.312202556541076,0.947709453297386,0.0894364809655574,"high","alpha-gamma"
"47","pos - zero",0.0247937050905589,0.0108298675219812,146,2.28938212219453,0.0604532131074149,0.345683800205892,"med","alpha-gamma"
"48","pos - neg",0.0428808096099379,0.0108849817075501,146,3.93944709895054,0.0003693389431354,0.345683800205892,"med","alpha-gamma"
"49","zero - neg",0.018087104519379,0.0108849817075501,146,1.66165685945373,0.223513640790604,0.345683800205892,"med","alpha-gamma"
"50","pos - zero",0.007310866848836,0.0140158819096802,146,0.521613045539909,0.860910289142961,0.570731829026556,"low","alpha-gamma"
"51","pos - neg",0.000770058956988442,0.0140158819096802,146,0.0549418839250203,0.998337166520881,0.570731829026556,"low","alpha-gamma"
"52","zero - neg",-0.00654080789184756,0.0139449149629975,146,-0.469046093805767,0.885912389548227,0.570731829026556,"low","alpha-gamma"
